Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1	Transcription Units	Regulated-By	GO terms (biological process)
EQU24_RS21410	EQU24_RS21410	4819958	4823470	PAS domain S-box protein	EQU24_RS21420 // EQU24_RS21415 // EQU24_RS21410	EQU24_RS21410	EQU24_RS21420 // EQU24_RS21415 // EQU24_RS21410		
EQU24_RS21405	EQU24_RS21405	4818383	4819396	asparaginase	EQU24_RS21405	EQU24_RS21405	EQU24_RS21405		
EQU24_RS21400	EQU24_RS21400	4817833	4818324	dihydrofolate reductase	EQU24_RS21400	EQU24_RS21400	EQU24_RS21400		
EQU24_RS21395	EQU24_RS21395	4815717	4817687	bilirubin oxidase	EQU24_RS21395	EQU24_RS21395	EQU24_RS21395		
EQU24_RS21390	EQU24_RS21390	4814723	4815544	ATP-binding protein	EQU24_RS21390	EQU24_RS21390	EQU24_RS21390		
EQU24_RS21385	EQU24_RS21385	4814026	4814280	DUF2442 domain-containing protein	EQU24_RS21385 // EQU24_RS21380	EQU24_RS21385	EQU24_RS21385 // EQU24_RS21380		
EQU24_RS21380	EQU24_RS21380	4813748	4814014	DUF4160 domain-containing protein	EQU24_RS21385 // EQU24_RS21380	EQU24_RS21380	EQU24_RS21385 // EQU24_RS21380		
EQU24_RS21375	EQU24_RS21375	4813260	4813607	integron integrase	EQU24_RS21375	EQU24_RS21375	EQU24_RS21375		
EQU24_RS21370	EQU24_RS21370	4812792	4813046	hypothetical protein	EQU24_RS21370	EQU24_RS21370	EQU24_RS21370		
EQU24_RS21365	EQU24_RS21365	4812455	4812733	hypothetical protein	EQU24_RS21365	EQU24_RS21365	EQU24_RS21365		
EQU24_RS21360	EQU24_RS21360	4811827	4812123	hypothetical protein	EQU24_RS21360	EQU24_RS21360	EQU24_RS21360		
EQU24_RS21355	EQU24_RS21355	4810929	4811762	symmetrical bis(5'-nucleosyl)-tetraphosphatase	EQU24_RS21355 // apaG	EQU24_RS21355	EQU24_RS21355 // apaG		
apaG	EQU24_RS21350	4810549	4810926	Co2+/Mg2+ efflux protein ApaG	EQU24_RS21355 // apaG	EQU24_RS21350	EQU24_RS21355 // apaG		
EQU24_RS21345	EQU24_RS21345	4809947	4810468	ankyrin repeat domain-containing protein	EQU24_RS21345	EQU24_RS21345	EQU24_RS21345		
EQU24_RS21340	EQU24_RS21340	4808418	4809647	NADP-dependent isocitrate dehydrogenase	EQU24_RS21340 // EQU24_RS21335 // EQU24_RS21330	EQU24_RS21340	EQU24_RS21340 // EQU24_RS21335 // EQU24_RS21330		
EQU24_RS21335	EQU24_RS21335	4807288	4808421	efflux RND transporter periplasmic adaptor subunit	EQU24_RS21340 // EQU24_RS21335 // EQU24_RS21330	EQU24_RS21335	EQU24_RS21340 // EQU24_RS21335 // EQU24_RS21330		
EQU24_RS21330	EQU24_RS21330	4806620	4807288	ABC transporter ATP-binding protein	EQU24_RS21340 // EQU24_RS21335 // EQU24_RS21330	EQU24_RS21330	EQU24_RS21340 // EQU24_RS21335 // EQU24_RS21330		
EQU24_RS21325	EQU24_RS21325	4805758	4806597	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	EQU24_RS21325	EQU24_RS21325	EQU24_RS21325		
EQU24_RS21320	EQU24_RS21320	4804790	4805542	hypothetical protein	EQU24_RS21320	EQU24_RS21320	EQU24_RS21320		
EQU24_RS21315	EQU24_RS21315	4803631	4804434	response regulator	EQU24_RS21315	EQU24_RS21315	EQU24_RS21315		
EQU24_RS21310	EQU24_RS21310	4801805	4803253	HAMP domain-containing protein	EQU24_RS21310	EQU24_RS21310	EQU24_RS21310		
EQU24_RS21305	EQU24_RS21305	4800572	4801255	response regulator	EQU24_RS21305	EQU24_RS21305	EQU24_RS21305		
EQU24_RS21300	EQU24_RS21300	4799634	4800017	hypothetical protein	EQU24_RS21300	EQU24_RS21300	EQU24_RS21300		
EQU24_RS21295	EQU24_RS21295	4799018	4799506	hypothetical protein	EQU24_RS21295	EQU24_RS21295	EQU24_RS21295		
pgl	EQU24_RS21290	4798103	4798792	6-phosphogluconolactonase	pgl	EQU24_RS21290	pgl		
EQU24_RS21285	EQU24_RS21285	4796715	4797689	M28 family peptidase	EQU24_RS21285	EQU24_RS21285	EQU24_RS21285		
EQU24_RS21280	EQU24_RS21280	4792764	4796450	hypothetical protein	EQU24_RS21280	EQU24_RS21280	EQU24_RS21280		
EQU24_RS21275	EQU24_RS21275	4791963	4792538	DUF1318 domain-containing protein	EQU24_RS21275	EQU24_RS21275	EQU24_RS21275		
EQU24_RS21270	EQU24_RS21270	4791811	4791888	biopolymer transporter ExbD	EQU24_RS21270	EQU24_RS21270	EQU24_RS21270		
EQU24_RS21265	EQU24_RS21265	4791672	4791851	hypothetical protein	EQU24_RS21265	EQU24_RS21265	EQU24_RS21265		
EQU24_RS21260	EQU24_RS21260	4791095	4791280	hypothetical protein	EQU24_RS21260	EQU24_RS21260	EQU24_RS21260		
EQU24_RS21255	EQU24_RS21255	4789341	4791020	carbon starvation protein A	EQU24_RS21255 // EQU24_RS21250 // EQU24_RS21245	EQU24_RS21255	EQU24_RS21255 // EQU24_RS21250 // EQU24_RS21245		
EQU24_RS21250	EQU24_RS21250	4789072	4789344	hypothetical protein	EQU24_RS21255 // EQU24_RS21250 // EQU24_RS21245	EQU24_RS21250	EQU24_RS21255 // EQU24_RS21250 // EQU24_RS21245		
EQU24_RS21245	EQU24_RS21245	4788060	4789067	ArsA family ATPase	EQU24_RS21255 // EQU24_RS21250 // EQU24_RS21245	EQU24_RS21245	EQU24_RS21255 // EQU24_RS21250 // EQU24_RS21245		
EQU24_RS21240	EQU24_RS21240	4787697	4787909	integron integrase	EQU24_RS21240	EQU24_RS21240	EQU24_RS21240		
EQU24_RS21235	EQU24_RS21235	4785712	4787649	TIGR03768 family metallophosphoesterase	EQU24_RS21235	EQU24_RS21235	EQU24_RS21235		
EQU24_RS21230	EQU24_RS21230	4784640	4785491	DNA ligase	EQU24_RS21230	EQU24_RS21230	EQU24_RS21230		
EQU24_RS21225	EQU24_RS21225	4780966	4784526	hypothetical protein	EQU24_RS21225	EQU24_RS21225	EQU24_RS21225		
EQU24_RS21220	EQU24_RS21220	4779302	4780792	glucose-6-phosphate dehydrogenase	EQU24_RS21220 // gnd	EQU24_RS21220	EQU24_RS21220 // gnd		
gnd	EQU24_RS21215	4777829	4779274	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase	EQU24_RS21220 // gnd	EQU24_RS21215	EQU24_RS21220 // gnd		
EQU24_RS21210	EQU24_RS21210	4776329	4776967	hypothetical protein	EQU24_RS21210	EQU24_RS21210	EQU24_RS21210		
EQU24_RS21205	EQU24_RS21205	4774840	4776204	hypothetical protein	EQU24_RS21205	EQU24_RS21205	EQU24_RS21205		
EQU24_RS21200	EQU24_RS21200	4773552	4774538	Tim44 domain-containing protein	EQU24_RS21200	EQU24_RS21200	EQU24_RS21200		
EQU24_RS21195	EQU24_RS21195	4772761	4773489	response regulator transcription factor	EQU24_RS21195 // EQU24_RS21190	EQU24_RS21195	EQU24_RS21195 // EQU24_RS21190		
EQU24_RS21190	EQU24_RS21190	4771959	4772738	methyltransferase domain-containing protein	EQU24_RS21195 // EQU24_RS21190	EQU24_RS21190	EQU24_RS21195 // EQU24_RS21190		
EQU24_RS21185	EQU24_RS21185	4771497	4771814	type II toxin-antitoxin system PemK/MazF family toxin	EQU24_RS21185 // EQU24_RS21180	EQU24_RS21185	EQU24_RS21185 // EQU24_RS21180		
EQU24_RS21180	EQU24_RS21180	4771256	4771546	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	EQU24_RS21185 // EQU24_RS21180	EQU24_RS21180	EQU24_RS21185 // EQU24_RS21180		
EQU24_RS21175	EQU24_RS21175	4769920	4771155	mechanosensitive ion channel family protein	EQU24_RS21175	EQU24_RS21175	EQU24_RS21175		
EQU24_RS21170	EQU24_RS21170	4768228	4769328	hypothetical protein	EQU24_RS21170	EQU24_RS21170	EQU24_RS21170		
EQU24_RS21165	EQU24_RS21165	4766570	4768030	hypothetical protein	EQU24_RS21165	EQU24_RS21165	EQU24_RS21165		
EQU24_RS21160	EQU24_RS21160	4765796	4766287	hypothetical protein	EQU24_RS21160	EQU24_RS21160	EQU24_RS21160		
EQU24_RS21155	EQU24_RS21155	4764495	4765529	IS110 family transposase	EQU24_RS21155	EQU24_RS21155	EQU24_RS21155		
EQU24_RS21150	EQU24_RS21150	4763585	4764130	hypothetical protein	EQU24_RS21150	EQU24_RS21150	EQU24_RS21150		
EQU24_RS21145	EQU24_RS21145	4763064	4763612	nuclear transport factor 2 family protein	EQU24_RS21145	EQU24_RS21145	EQU24_RS21145		
EQU24_RS21140	EQU24_RS21140	4761965	4762903	acyl-CoA desaturase	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21140	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
EQU24_RS21135	EQU24_RS21135	4760727	4761968	FAD-dependent oxidoreductase	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21135	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
EQU24_RS21130	EQU24_RS21130	4759972	4760730	DUF1365 domain-containing protein	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21130	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
EQU24_RS21125	EQU24_RS21125	4758681	4759946	class I SAM-dependent methyltransferase	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21125	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
EQU24_RS21120	EQU24_RS21120	4758149	4758694	DUF2878 domain-containing protein	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21120	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
EQU24_RS21115	EQU24_RS21115	4756327	4758156	DUF1295 domain-containing protein	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21115	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
EQU24_RS21110	EQU24_RS21110	4755023	4756330	histidine kinase	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110	EQU24_RS21110	EQU24_RS21140 // EQU24_RS21135 // EQU24_RS21130 // EQU24_RS21125 // EQU24_RS21120 // EQU24_RS21115 // EQU24_RS21110		
pyp	EQU24_RS21105	4753192	4754799	photoactive yellow protein	pyp // EQU24_RS21100	EQU24_RS21105	pyp // EQU24_RS21100		
EQU24_RS21100	EQU24_RS21100	4752023	4753195	AMP-binding protein	pyp // EQU24_RS21100	EQU24_RS21100	pyp // EQU24_RS21100		
EQU24_RS21095	EQU24_RS21095	4750768	4751772	SGNH/GDSL hydrolase family protein	EQU24_RS21095	EQU24_RS21095	EQU24_RS21095		
EQU24_RS21090	EQU24_RS21090	4748804	4750375	FAD-binding oxidoreductase	EQU24_RS21090	EQU24_RS21090	EQU24_RS21090		
EQU24_RS21085	EQU24_RS21085	4747915	4748643	TIGR00730 family Rossman fold protein	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21085	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
EQU24_RS21080	EQU24_RS21080	4747608	4747910	cytochrome c	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21080	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
EQU24_RS21075	EQU24_RS21075	4746326	4747615	dihydroorotase	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21075	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
EQU24_RS21070	EQU24_RS21070	4745364	4746326	aspartate carbamoyltransferase catalytic subunit	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21070	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
pyrR	EQU24_RS21065	4744842	4745360	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21065	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
ruvX	EQU24_RS21060	4744386	4744832	Holliday junction resolvase RuvX	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21060	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
EQU24_RS21055	EQU24_RS21055	4743830	4744393	YqgE/AlgH family protein	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21055	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
EQU24_RS21050	EQU24_RS21050	4742910	4743791	energy transducer TonB	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050	EQU24_RS21050	EQU24_RS21085 // EQU24_RS21080 // EQU24_RS21075 // EQU24_RS21070 // pyrR // ruvX // EQU24_RS21055 // EQU24_RS21050		
gshB	EQU24_RS21045	4741440	4742387	glutathione synthase	gshB	EQU24_RS21045	gshB		
rpmB	EQU24_RS21040	4740871	4741107	50S ribosomal protein L28	rpmB // rpmG	EQU24_RS21040	rpmB // rpmG		
rpmG	EQU24_RS21035	4740704	4740859	50S ribosomal protein L33	rpmB // rpmG	EQU24_RS21035	rpmB // rpmG		
EQU24_RS21030	EQU24_RS21030	4739252	4740622	cyclic nucleotide-binding domain-containing protein	EQU24_RS21030	EQU24_RS21030	EQU24_RS21030		
EQU24_RS21025	EQU24_RS21025	4737567	4738922	DegQ family serine endoprotease	EQU24_RS21025	EQU24_RS21025	EQU24_RS21025		
moaB	EQU24_RS21020	4736853	4737371	molybdenum cofactor biosynthesis protein B	moaB // EQU24_RS21015	EQU24_RS21020	moaB // EQU24_RS21015		
EQU24_RS21015	EQU24_RS21015	4736474	4736851	DUF423 domain-containing protein	moaB // EQU24_RS21015	EQU24_RS21015	moaB // EQU24_RS21015		
pepN	EQU24_RS21010	4733275	4735923	aminopeptidase N	pepN	EQU24_RS21010	pepN		
EQU24_RS21005	EQU24_RS21005	4731508	4732872	hypothetical protein	EQU24_RS21005	EQU24_RS21005	EQU24_RS21005		
EQU24_RS21000	EQU24_RS21000	4728788	4731319	hypothetical protein	EQU24_RS21000	EQU24_RS21000	EQU24_RS21000		
EQU24_RS20995	EQU24_RS20995	4725571	4728222	UPF0182 family protein	EQU24_RS20995	EQU24_RS20995	EQU24_RS20995		
EQU24_RS20990	EQU24_RS20990	4725052	4725498	Rsd/AlgQ family anti-sigma factor	EQU24_RS20990	EQU24_RS20990	EQU24_RS20990		
EQU24_RS20985	EQU24_RS20985	4724080	4724901	hypothetical protein	EQU24_RS20985	EQU24_RS20985	EQU24_RS20985		
EQU24_RS20980	EQU24_RS20980	4722790	4723914	ISAs1 family transposase	EQU24_RS20980	EQU24_RS20980	EQU24_RS20980		
EQU24_RS20975	EQU24_RS20975	4721951	4722733	methyltransferase domain-containing protein	EQU24_RS20975	EQU24_RS20975	EQU24_RS20975		
EQU24_RS20970	EQU24_RS20970	4721456	4721635	hypothetical protein	EQU24_RS20970	EQU24_RS20970	EQU24_RS20970		
EQU24_RS20965	EQU24_RS20965	4721112	4721379	hypothetical protein	EQU24_RS20965	EQU24_RS20965	EQU24_RS20965		
EQU24_RS20960	EQU24_RS20960	4719042	4720787	sensor domain-containing diguanylate cyclase	EQU24_RS20960	EQU24_RS20960	EQU24_RS20960		
EQU24_RS20955	EQU24_RS20955	4718701	4718945	hypothetical protein	EQU24_RS20955	EQU24_RS20955	EQU24_RS20955		
EQU24_RS20950	EQU24_RS20950	4717306	4718589	ISKra4 family transposase	EQU24_RS20950	EQU24_RS20950	EQU24_RS20950		
EQU24_RS20945	EQU24_RS20945	4715242	4716087	2-oxoglutarate synthase	EQU24_RS20945 // EQU24_RS20940	EQU24_RS20945	EQU24_RS20945 // EQU24_RS20940		
EQU24_RS20940	EQU24_RS20940	4713500	4715245	2-oxoacid:acceptor oxidoreductase subunit alpha	EQU24_RS20945 // EQU24_RS20940	EQU24_RS20940	EQU24_RS20945 // EQU24_RS20940		
EQU24_RS20935	EQU24_RS20935	4712833	4713129	type II toxin-antitoxin system PemK/MazF family toxin	EQU24_RS20935 // EQU24_RS20930	EQU24_RS20935	EQU24_RS20935 // EQU24_RS20930		
EQU24_RS20930	EQU24_RS20930	4712579	4712833	hypothetical protein	EQU24_RS20935 // EQU24_RS20930	EQU24_RS20930	EQU24_RS20935 // EQU24_RS20930		
EQU24_RS20925	EQU24_RS20925	4712083	4712355	Txe/YoeB family addiction module toxin	EQU24_RS20925 // EQU24_RS20920	EQU24_RS20925	EQU24_RS20925 // EQU24_RS20920		
EQU24_RS20920	EQU24_RS20920	4711844	4712086	type II toxin-antitoxin system Phd/YefM family antitoxin	EQU24_RS20925 // EQU24_RS20920	EQU24_RS20920	EQU24_RS20925 // EQU24_RS20920		
EQU24_RS20915	EQU24_RS20915	4711372	4711608	DUF433 domain-containing protein	EQU24_RS20915 // EQU24_RS20910	EQU24_RS20915	EQU24_RS20915 // EQU24_RS20910		
EQU24_RS20910	EQU24_RS20910	4711022	4711375	hypothetical protein	EQU24_RS20915 // EQU24_RS20910	EQU24_RS20910	EQU24_RS20915 // EQU24_RS20910		
EQU24_RS20905	EQU24_RS20905	4709466	4710749	ISKra4 family transposase	EQU24_RS20905	EQU24_RS20905	EQU24_RS20905		
EQU24_RS20900	EQU24_RS20900	4708571	4708813	hypothetical protein	EQU24_RS20900 // EQU24_RS20895	EQU24_RS20900	EQU24_RS20900 // EQU24_RS20895		
EQU24_RS20895	EQU24_RS20895	4708351	4708620	DUF2335 domain-containing protein	EQU24_RS20900 // EQU24_RS20895	EQU24_RS20895	EQU24_RS20900 // EQU24_RS20895		
EQU24_RS20890	EQU24_RS20890	4707940	4708251	hypothetical protein	EQU24_RS20890	EQU24_RS20890	EQU24_RS20890		
EQU24_RS20885	EQU24_RS20885	4707214	4707513	putative addiction module antidote protein	EQU24_RS20885 // EQU24_RS20880	EQU24_RS20885	EQU24_RS20885 // EQU24_RS20880		
EQU24_RS20880	EQU24_RS20880	4706909	4707205	type II toxin-antitoxin system RelE/ParE family toxin	EQU24_RS20885 // EQU24_RS20880	EQU24_RS20880	EQU24_RS20885 // EQU24_RS20880		
EQU24_RS20875	EQU24_RS20875	4705804	4706517	hypothetical protein	EQU24_RS20875	EQU24_RS20875	EQU24_RS20875		
EQU24_RS20870	EQU24_RS20870	4704986	4705669	NrdJb	EQU24_RS20870	EQU24_RS20870	EQU24_RS20870		
EQU24_RS20865	EQU24_RS20865	4704582	4704830	DUF2442 domain-containing protein	EQU24_RS20865	EQU24_RS20865	EQU24_RS20865		
EQU24_RS20860	EQU24_RS20860	4701217	4704489	ribonucleotide reductase	EQU24_RS20860	EQU24_RS20860	EQU24_RS20860		
EQU24_RS20855	EQU24_RS20855	4696581	4700816	DEAD/DEAH box helicase	EQU24_RS20855	EQU24_RS20855	EQU24_RS20855		
EQU24_RS20850	EQU24_RS20850	4695307	4695984	zinc ribbon domain-containing protein	EQU24_RS20850	EQU24_RS20850	EQU24_RS20850		
EQU24_RS20845	EQU24_RS20845	4694548	4695084	hypothetical protein	EQU24_RS20845	EQU24_RS20845	EQU24_RS20845		
EQU24_RS20840	EQU24_RS20840	4692689	4694200	YifB family Mg chelatase-like AAA ATPase	EQU24_RS20840	EQU24_RS20840	EQU24_RS20840		
EQU24_RS20835	EQU24_RS20835	4692355	4692624	accessory factor UbiK family protein	EQU24_RS20835	EQU24_RS20835	EQU24_RS20835		
EQU24_RS20830	EQU24_RS20830	4691593	4692168	MarR family transcriptional regulator	EQU24_RS20830	EQU24_RS20830	EQU24_RS20830		
recC	EQU24_RS20825	4688307	4691447	exodeoxyribonuclease V subunit gamma	recC	EQU24_RS20825	recC		
EQU24_RS20820	EQU24_RS20820	4688059	4688241	hypothetical protein	EQU24_RS20820	EQU24_RS20820	EQU24_RS20820		
EQU24_RS20815	EQU24_RS20815	4687224	4687736	hypothetical protein	EQU24_RS20815	EQU24_RS20815	EQU24_RS20815		
EQU24_RS20810	EQU24_RS20810	4686819	4687172	hypothetical protein	EQU24_RS20810	EQU24_RS20810	EQU24_RS20810		
EQU24_RS20805	EQU24_RS20805	4686397	4686777	hypothetical protein	EQU24_RS20805	EQU24_RS20805	EQU24_RS20805		
EQU24_RS20800	EQU24_RS20800	4685950	4686240	hypothetical protein	EQU24_RS20800	EQU24_RS20800	EQU24_RS20800		
EQU24_RS20795	EQU24_RS20795	4682854	4685862	EAL domain-containing protein	EQU24_RS20795	EQU24_RS20795	EQU24_RS20795		
EQU24_RS20790	EQU24_RS20790	4681124	4682494	LOG family protein	EQU24_RS20790	EQU24_RS20790	EQU24_RS20790		
EQU24_RS20785	EQU24_RS20785	4680538	4680777	hypothetical protein	EQU24_RS20785	EQU24_RS20785	EQU24_RS20785		
EQU24_RS20780	EQU24_RS20780	4679457	4680317	DUF3014 domain-containing protein	EQU24_RS20780	EQU24_RS20780	EQU24_RS20780		
EQU24_RS20775	EQU24_RS20775	4678439	4679236	UDP-2,3-diacylglucosamine diphosphatase	EQU24_RS20775 // EQU24_RS20770	EQU24_RS20775	EQU24_RS20775 // EQU24_RS20770		
EQU24_RS20770	EQU24_RS20770	4678205	4678414	hypothetical protein	EQU24_RS20775 // EQU24_RS20770	EQU24_RS20770	EQU24_RS20775 // EQU24_RS20770		
EQU24_RS20765	EQU24_RS20765	4677501	4678028	phosphatase PAP2 family protein	EQU24_RS20765 // EQU24_RS20760	EQU24_RS20765	EQU24_RS20765 // EQU24_RS20760		
EQU24_RS20760	EQU24_RS20760	4676452	4677504	glycosyl transferase	EQU24_RS20765 // EQU24_RS20760	EQU24_RS20760	EQU24_RS20765 // EQU24_RS20760		
cysI	EQU24_RS20755	4674368	4676074	assimilatory sulfite reductase (NADPH) hemoprotein subunit	cysI // EQU24_RS20750	EQU24_RS20755	cysI // EQU24_RS20750		
EQU24_RS20750	EQU24_RS20750	4672558	4674354	assimilatory sulfite reductase (NADPH) flavoprotein subunit	cysI // EQU24_RS20750	EQU24_RS20750	cysI // EQU24_RS20750		
EQU24_RS20745	EQU24_RS20745	4671694	4672086	DUF393 domain-containing protein	EQU24_RS20745	EQU24_RS20745	EQU24_RS20745		
EQU24_RS20740	EQU24_RS20740	4671123	4671458	TIR domain-containing protein	EQU24_RS20740	EQU24_RS20740	EQU24_RS20740		
EQU24_RS20735	EQU24_RS20735	4670747	4671046	type II toxin-antitoxin system RelE/ParE family toxin	EQU24_RS20735 // EQU24_RS20730	EQU24_RS20735	EQU24_RS20735 // EQU24_RS20730		
EQU24_RS20730	EQU24_RS20730	4670509	4670757	type II toxin-antitoxin system Phd/YefM family antitoxin	EQU24_RS20735 // EQU24_RS20730	EQU24_RS20730	EQU24_RS20735 // EQU24_RS20730		
EQU24_RS20725	EQU24_RS20725	4670035	4670295	type II toxin-antitoxin system Phd/YefM family antitoxin	EQU24_RS20725 // EQU24_RS20720	EQU24_RS20725	EQU24_RS20725 // EQU24_RS20720		
EQU24_RS20720	EQU24_RS20720	4669763	4670032	Txe/YoeB family addiction module toxin	EQU24_RS20725 // EQU24_RS20720	EQU24_RS20720	EQU24_RS20725 // EQU24_RS20720		
EQU24_RS20715	EQU24_RS20715	4669445	4669670	hypothetical protein	EQU24_RS20715	EQU24_RS20715	EQU24_RS20715		
EQU24_RS20710	EQU24_RS20710	4668360	4669367	fructose-bisphosphate aldolase class II	EQU24_RS20710	EQU24_RS20710	EQU24_RS20710		
EQU24_RS20705	EQU24_RS20705	4667353	4667709	hypothetical protein	EQU24_RS20705	EQU24_RS20705	EQU24_RS20705		
EQU24_RS20700	EQU24_RS20700	4666899	4667144	hypothetical protein	EQU24_RS20700 // EQU24_RS20695	EQU24_RS20700	EQU24_RS20700 // EQU24_RS20695		
EQU24_RS20695	EQU24_RS20695	4665933	4666877	hypothetical protein	EQU24_RS20700 // EQU24_RS20695	EQU24_RS20695	EQU24_RS20700 // EQU24_RS20695		
EQU24_RS20690	EQU24_RS20690	4664032	4665369	DEAD/DEAH box helicase	EQU24_RS20690	EQU24_RS20690	EQU24_RS20690		
EQU24_RS20685	EQU24_RS20685	4662788	4663882	hypothetical protein	EQU24_RS20685	EQU24_RS20685	EQU24_RS20685		
EQU24_RS20680	EQU24_RS20680	4661955	4662299	hypothetical protein	EQU24_RS20680 // EQU24_RS20675 // EQU24_RS20670	EQU24_RS20680	EQU24_RS20680 // EQU24_RS20675 // EQU24_RS20670		
EQU24_RS20675	EQU24_RS20675	4661361	4661951	hypothetical protein	EQU24_RS20680 // EQU24_RS20675 // EQU24_RS20670	EQU24_RS20675	EQU24_RS20680 // EQU24_RS20675 // EQU24_RS20670		
EQU24_RS20670	EQU24_RS20670	4661128	4661361	AlpA family phage regulatory protein	EQU24_RS20680 // EQU24_RS20675 // EQU24_RS20670	EQU24_RS20670	EQU24_RS20680 // EQU24_RS20675 // EQU24_RS20670		
EQU24_RS20665	EQU24_RS20665	4660427	4661032	hypothetical protein	EQU24_RS20665	EQU24_RS20665	EQU24_RS20665		
EQU24_RS20660	EQU24_RS20660	4659638	4659883	hypothetical protein	EQU24_RS20660	EQU24_RS20660	EQU24_RS20660		
